ax,ay,az,gx,gy,gz,mx,my,mz
0.239432,-0.186757,-8.825478,0.000123,-0.000109,0.000297,-31.083048,-6.473145,34.556244
0.239432,-0.186757,-8.825478,0.000123,-0.000109,0.000297,-31.083048,-6.473145,34.556244
0.229855,-0.196335,-8.858997,-0.000277,0.000024,0.000164,-31.083048,-6.473145,34.556244
0.229855,-0.196335,-8.858997,-0.000277,0.000024,0.000164,-31.083048,-6.473145,34.556244
0.220278,-0.186757,-8.844632,-0.000011,0.000157,-0.000236,-31.083048,-6.473145,34.556244
0.220278,-0.186757,-8.844632,-0.000011,0.000157,-0.000236,-31.083048,-6.473145,34.556244
0.234644,-0.191546,-8.844632,-0.000277,-0.000242,0.000164,-31.083048,-6.473145,34.556244
0.234644,-0.191546,-8.844632,-0.000277,-0.000242,0.000164,-31.083048,-6.473145,34.556244
0.234644,-0.191546,-8.835054,-0.000011,-0.000775,0.000430,-30.725771,-7.192384,35.938492
0.234644,-0.191546,-8.835054,-0.000011,-0.000775,0.000430,-30.725771,-7.192384,35.938492
0.239432,-0.191546,-8.854209,-0.000144,-0.000509,0.000830,-30.725771,-7.192384,35.938492
0.239432,-0.191546,-8.854209,-0.000144,-0.000509,0.000830,-30.725771,-7.192384,35.938492
0.239432,-0.201123,-8.844632,-0.001209,0.000423,0.000164,-30.725771,-7.192384,35.938492
0.229855,-0.186757,-8.820688,0.000389,0.000024,-0.000635,-30.725771,-7.192384,35.938492
0.229855,-0.186757,-8.820688,0.000389,0.000024,-0.000635,-30.725771,-7.192384,35.938492
0.234644,-0.191546,-8.854209,-0.000011,0.000690,-0.000103,-30.725771,-7.192384,35.938492
0.234644,-0.191546,-8.854209,-0.000011,0.000690,-0.000103,-30.725771,-7.192384,35.938492
0.234644,-0.196335,-8.825478,0.000921,0.000956,-0.000369,-30.725771,-7.192384,35.938492
0.234644,-0.196335,-8.825478,0.000921,0.000956,-0.000369,-30.725771,-7.192384,35.938492
0.239432,-0.196335,-8.820688,0.000123,0.000290,-0.000103,-30.725771,-7.192384,35.938492
0.239432,-0.196335,-8.820688,0.000123,0.000290,-0.000103,-30.725771,-7.192384,35.938492
0.234644,-0.196335,-8.830266,-0.000011,-0.000376,0.000830,-30.725771,-7.192384,35.938492
0.234644,-0.196335,-8.830266,-0.000011,-0.000376,0.000830,-30.725771,-7.192384,35.938492
0.229855,-0.196335,-8.820688,0.000389,0.000290,-0.000103,-30.725771,-7.192384,35.938492
0.215489,-0.205912,-8.835054,0.001055,0.000290,-0.000502,-30.725771,-7.192384,35.938492
0.215489,-0.205912,-8.835054,0.001055,0.000290,-0.000502,-30.725771,-7.192384,35.938492
0.239432,-0.177180,-8.825478,0.000123,0.000690,0.000963,-30.725771,-7.192384,35.938492
0.239432,-0.177180,-8.825478,0.000123,0.000690,0.000963,-30.725771,-7.192384,35.938492
0.229855,-0.177180,-8.815900,0.000788,-0.000109,-0.000236,-30.725771,-7.192384,35.938492
0.229855,-0.177180,-8.815900,0.000788,-0.000109,-0.000236,-30.725771,-7.192384,35.938492
0.239432,-0.196335,-8.815900,0.000256,0.000157,0.000164,-30.725771,-7.192384,35.938492
0.239432,-0.196335,-8.815900,0.000256,0.000157,0.000164,-30.725771,-7.192384,35.938492
0.234644,-0.186757,-8.835054,0.000389,-0.000109,0.000696,-30.904409,-7.372194,36.456837
0.234644,-0.186757,-8.835054,0.000389,-0.000109,0.000696,-30.904409,-7.372194,36.456837
0.234644,-0.191546,-8.839843,0.001321,0.000690,-0.000103,-30.904409,-7.372194,36.456837
0.234644,-0.191546,-8.839843,0.001321,0.000690,-0.000103,-30.904409,-7.372194,36.456837
0.225066,-0.191546,-8.844632,0.000256,0.000557,0.000164,-30.904409,-7.372194,36.456837
0.239432,-0.196335,-8.849421,0.000123,0.000290,0.000031,-30.904409,-7.372194,36.456837
0.239432,-0.196335,-8.849421,0.000123,0.000290,0.000031,-30.904409,-7.372194,36.456837
0.239432,-0.181969,-8.825478,-0.000277,-0.000242,0.000297,-30.904409,-7.372194,36.456837
0.239432,-0.181969,-8.825478,-0.000277,-0.000242,0.000297,-30.904409,-7.372194,36.456837
0.225066,-0.186757,-8.830266,-0.000676,-0.000376,0.000563,-30.904409,-7.372194,36.456837
0.225066,-0.186757,-8.830266,-0.000676,-0.000376,0.000563,-30.904409,-7.372194,36.456837
